[2024-11-30 20:40:32] Transaction ID: TXN512739, Card Number: 111111111111, Type: Deposit, Amount: 0
[2024-11-30 20:40:48] Transaction ID: TXN771277, Card Number: 111111111111, Type: Withdrawal, Amount: 50000
[2024-11-30 22:23:18] Transaction ID: TXN440505, Card Number: 111111111111, Type: Withdrawal, Amount: 27000
[2024-11-30 22:24:46] Transaction ID: TXN132678, Card Number: 111111111111, Type: Deposit, Amount: 0
[2024-11-30 22:26:06] Transaction ID: TXN292308, Card Number: 111111111111, Type: Deposit, Amount: 300000
[2024-11-30 22:29:42] Transaction ID: TXN489112, Card Number: 111111111111, Type: Deposit, Amount: 330000
[2024-11-30 22:31:02] Transaction ID: TXN648067, Card Number: 111111111111, Type: Deposit, Amount: 330000
[2024-11-30 22:42:18] Transaction ID: TXN613940, Card Number: 111111111111, Type: Deposit, Amount: 1000
[2024-11-30 22:42:31] Transaction ID: TXN569043, Card Number: 111111111111, Type: Deposit, Amount: 100000
[2024-11-30 22:57:58] Transaction ID: TXN522010, Card Number: 111111111111, Type: Deposit, Amount: 329000
[2024-11-30 22:58:27] Transaction ID: TXN990362, Card Number: 111111111111, Type: Deposit, Amount: 100000
[2024-11-30 22:58:53] Transaction ID: TXN297699, Card Number: 111111111111, Type: Deposit, Amount: 10000
[2024-11-30 23:37:01] Transaction ID: TXN423451, Card Number: 111111111111, Type: Deposit, Amount: 100000
[2024-12-01 00:15:26] Transaction ID: TXN674010, Card Number: 111111111111, Type: Deposit, Amount: 100000
[2024-12-01 00:15:36] Transaction ID: TXN833206, Card Number: 111111111111, Type: Deposit, Amount: 100000
[2024-12-01 00:25:01] Transaction ID: TXN800594, Card Number: 111111111111, Type: Deposit, Amount: 100000
[2024-12-01 00:36:03] Transaction ID: TXN839400, Card Number: 1, Type: Deposit, Amount: 100000
[2024-12-01 00:36:28] Transaction ID: TXN720880, Card Number: 1, Type: Deposit, Amount: 100000
[2024-12-01 00:46:00] Transaction ID: TXN529793, Card Number: 1, Type: Deposit, Amount: 100000
[2024-12-01 00:47:24] Transaction ID: TXN132132, Card Number: 1, Type: Deposit, Amount: 100000
[2024-12-01 00:54:00] Transaction ID: TXN395383, Card Number: 1, Type: Deposit, Amount: 100000
[2024-12-01 00:56:12] Transaction ID: TXN203755, Card Number: 1, Type: Deposit, Amount: 100000
[2024-12-01 01:08:03] Transaction ID: TXN281940, Card Number: 1, Type: Deposit, Amount: 100000
[2024-12-01 02:14:38] Transaction ID: TXN708023, Card Number: 1, Type: Deposit, Amount: 64000
[2024-12-01 02:16:35] Transaction ID: TXN192453, Card Number: 1, Type: Deposit, Amount: 66000
[2024-12-01 02:17:39] Transaction ID: TXN159578, Card Number: 1, Type: Deposit, Amount: 65000
